gid,lat,lon
가사46aa99bb,37.9633589100,124.6101354000
가사46ab99ba,37.9611783900,124.6130660000
가사46ab99bb,37.9634287600,124.6129778000
가사46ba99ab,37.9589977800,124.6159964000
가사46ba99ba,37.9612481600,124.6159083000
가사46ba99bb,37.9634985400,124.6158202000
가사46bb99ab,37.9590674800,124.6188387000
가사46bb99ba,37.9613178700,124.6187507000
가사46bb99bb,37.9635682500,124.6186627000
가사47aa99aa,37.9568867200,124.6217689000
가사47aa99ab,37.9591371100,124.6216810000
가사47aa99ba,37.9613875000,124.6215930000
가사47aa99bb,37.9636378900,124.6215051000
가사47ab98ab,37.9502050800,124.6248744000
가사47ab98ba,37.9524554800,124.6247867000
가사47ab98bb,37.9547058800,124.6246989000
가사47ab99aa,37.9569562800,124.6246111000
가사47ab99ab,37.9592066800,124.6245232000
가사47ab99ba,37.9614570700,124.6244354000
가사47ab99bb,37.9637074700,124.6243476000
가사47ba97ab,37.9412729200,124.6280671000
가사47ba97ba,37.9435233300,124.6279794000
가사47ba97bb,37.9457737400,124.6278918000
가사47ba98aa,37.9480241500,124.6278041000
가사47ba98ab,37.9502745500,124.6277164000
가사47ba98ba,37.9525249600,124.6276287000
가사47ba98bb,37.9547753600,124.6275410000
가사47ba99aa,37.9570257700,124.6274533000
가사47ba99ab,37.9592761700,124.6273656000
가사47ba99ba,37.9615265700,124.6272778000
가사47ba99bb,37.9637769700,124.6271901000
가사47bb96bb,37.9368414700,124.6310838000
가사47bb97aa,37.9390918900,124.6309963000
가사47bb97ab,37.9413423000,124.6309087000
가사47bb97ba,37.9435927200,124.6308211000
가사47bb97bb,37.9458431300,124.6307335000
가사47bb98aa,37.9480935400,124.6306460000
가사47bb98ab,37.9503439600,124.6305584000
가사47bb98ba,37.9525943700,124.6304707000
가사47bb98bb,37.9548447800,124.6303831000
가사47bb99aa,37.9570951900,124.6302955000
가사47bb99ab,37.9593456000,124.6302079000
가사47bb99ba,37.9615960000,124.6301202000
가사47bb99bb,37.9638464100,124.6300326000
가사48aa96aa,37.9301594900,124.6341876000
가사48aa96ab,37.9324099200,124.6341002000
가사48aa96ba,37.9346603500,124.6340127000
가사48aa96bb,37.9369107700,124.6339253000
가사48aa97aa,37.9391611900,124.6338378000
가사48aa97ab,37.9414116100,124.6337503000
가사48aa97ba,37.9436620300,124.6336628000
가사48aa97bb,37.9459124500,124.6335753000
가사48aa98aa,37.9481628700,124.6334878000
가사48aa98ab,37.9504132900,124.6334003000
