충전소,시군구명,충전일수,충전량_kWh,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,음식점,교통량,생산가능인구,일당충전량
G-Tower(경제자유구역청),연수구,408,30259.44,0,0,3,0,163,103,9,2,55103.0,512,874.0,47682.0,74.16529411764705
LH인천본부,남동구,612,63815.83,0,9,2,4,1030,39,9,6,47144.0,570,734.0,47098.0,104.27423202614379
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,서구,375,10538.65,0,7,0,4,244,28,6,3,23261.0,258,790.0,38879.0,28.103066666666667
가좌2동 행정복지센터,서구,196,7387.11,2,7,1,11,538,10,12,8,5963.0,574,539.0,53885.0,37.689336734693875
갈산역 공영주차장,부평구,131,3879.41,0,8,2,2,737,109,14,16,76009.0,1200,685.0,145339.0,29.61381679389313
강화군청,강화군,517,29291.07,0,3,0,1,113,12,8,9,616.0,382,198.0,11966.0,56.655841392649904
강화지사,강화군,342,10877.1,0,3,0,0,109,15,5,8,747.0,354,222.0,10780.0,31.80438596491228
강화풍물시장 공영주차장,강화군,597,27766.94,0,3,0,1,113,16,5,9,747.0,400,252.0,12573.0,46.51078726968174
검단2공영주차장,서구,630,44358.6,0,6,1,6,252,29,12,1,5289.0,356,657.0,46954.0,70.41047619047619
계산1택지 공영주차장,계양구,606,27959.93,4,25,3,1,605,106,26,19,52866.0,1613,846.0,144607.0,46.13849834983498
계양구 공영주차장,계양구,579,26312.12,0,15,3,2,920,83,27,21,46367.0,1828,709.0,157541.0,45.44407599309154
계양구청,계양구,482,37413.06,4,24,3,2,717,106,26,19,54933.0,1676,850.0,152398.0,77.62045643153526
남동복지관,남동구,136,6835.96,2,7,0,1,419,44,14,13,18583.0,1046,847.0,92143.0,50.26441176470588
남인천지사,연수구,604,54738.75,0,0,2,3,315,41,10,6,63927.0,904,797.0,69902.0,90.62706953642385
늘솔길공원 3주차장,남동구,214,9586.64,0,5,0,4,482,29,9,4,5235.0,202,542.0,30720.0,44.79738317757009
덕산국민여가캠핑장,강화군,202,5476.5,0,0,0,1,11,1,2,4,,13,135.0,472.0,27.111386138613863
도원역 부근 공영주차장,중구,637,41758.46,3,3,2,8,601,67,30,32,16655.0,1626,524.0,99596.0,65.55488226059654
동구청앞 공영주차장,동구,175,5429.37,4,6,2,8,600,62,30,30,8905.0,1416,510.0,84866.0,31.024971428571426
롯데마트 검단점,서구,499,28768.72,0,5,1,8,411,38,11,4,7289.0,683,658.0,63810.0,57.652745490981964
롯데마트 부평역점,부평구,501,20124.35,0,6,1,6,1050,36,17,20,62436.0,1734,570.0,157244.0,40.16836327345309
롯데마트 연수점,연수구,335,16488.97,0,0,3,3,389,72,22,15,401825.0,1227,714.0,99573.0,49.22080597014926
롯데마트 영종도점,중구,516,29106.06,0,1,2,1,131,30,6,3,3451.0,324,155.0,16686.0,56.40709302325582
롯데마트 청라점,서구,524,51481.52,0,5,2,6,144,64,8,2,2887.0,372,519.0,54348.0,98.24717557251908
마니산국민관광지,강화군,400,14954.29,0,0,0,0,14,1,2,4,,27,156.0,541.0,37.385725
모탱이공원,계양구,222,11623.37,0,11,0,1,124,12,6,1,6386.0,134,449.0,29009.0,52.35752252252253
부원 공영주차장,부평구,589,36475.69,0,4,1,5,1094,41,20,20,75907.0,1840,556.0,174261.0,61.92816638370119
부평국민체육센터,부평구,295,13994.98,0,8,2,2,769,109,14,17,50320.0,1053,672.0,134994.0,47.44061016949152
부평깡시장 공영주차장,부평구,131,4333.53,1,15,2,7,1190,87,29,23,493901.0,2293,636.0,195994.0,33.08038167938931
부평아트센터,부평구,334,12668.92,2,7,0,2,379,13,16,11,8494.0,816,526.0,80238.0,37.93089820359281
삼산농산물도매시장,부평구,257,6254.46,3,11,1,2,354,23,14,2,63426.0,337,584.0,74413.0,24.336420233463034
서곶근린공원 제1주차장,서구,137,4226.91,2,10,0,7,275,54,7,9,18189.0,565,854.0,40805.0,30.853357664233574
서림초교 뒤 공영주차장,동구,408,18985.67,4,5,1,5,580,68,27,26,8290.0,959,563.0,69684.0,46.53350490196078
서운체육공원 주차장,계양구,196,4720.24,3,18,3,3,480,74,18,9,40110.0,714,726.0,94256.0,24.08285714285714
소래제1주차장,남동구,133,4506.32,0,5,2,4,206,39,12,4,34880.0,722,422.0,55746.0,33.88210526315789
송도골프,연수구,432,22123.05,0,0,0,2,275,22,10,3,65036.0,579,763.0,48437.0,51.210763888888884
송도컨벤시아,연수구,496,25121.35,0,0,5,3,292,136,12,5,105319.0,791,963.0,72166.0,50.64788306451613
송림체육관,동구,595,30617.47,1,4,0,1,607,61,14,14,13391.0,537,715.0,39614.0,51.45793277310925
신기남부종합시장 주차장,미추홀구,142,7561.01,2,6,0,2,570,29,18,20,20138.0,1613,755.0,122820.0,53.24654929577465
신문리 공영주차장,강화군,164,7411.52,2,2,0,1,99,11,7,6,516.0,339,213.0,8590.0,45.19219512195122
십리포해수욕장 주차장,옹진군,68,1561.03,0,0,0,0,7,4,0,0,,16,2.0,497.0,22.956323529411765
아트센터인천,연수구,212,11356.43,0,0,2,0,84,68,5,1,2778.0,158,815.0,28583.0,53.56806603773585
연세대학교 국제캠퍼스,연수구,656,53172.87,0,0,2,1,95,71,9,3,25251.0,269,946.0,40262.0,81.05620426829269
연수구청,연수구,208,8931.53,1,0,3,3,641,59,20,14,419312.0,1088,618.0,85262.0,42.94004807692308
열우물경기장,부평구,158,6591.65,3,8,1,4,616,18,21,8,9860.0,811,584.0,70670.0,41.71930379746835
영종대교 휴게소 주차장,서구,578,30137.35,0,2,0,0,36,0,1,0,463.0,12,277.0,20.0,52.140743944636675
영흥수산물직판장 주차장,옹진군,408,11727.52,0,0,0,1,23,2,0,2,65.0,118,2.0,1142.0,28.743921568627453
온수리 공영 주차장,강화군,190,9405.42,0,0,0,0,34,11,3,4,242.0,96,276.0,1815.0,49.50221052631579
온수리 제1공영주차장,강화군,75,1698.31,0,0,0,0,37,11,3,4,242.0,97,272.0,2013.0,22.644133333333333
용유동사무소,중구,513,21183.14,0,0,0,1,7,1,2,3,,25,33.0,937.0,41.292670565302146
월미공원 제2주차장,중구,100,2859.22,0,0,0,0,106,0,1,0,518.0,122,267.0,1328.0,28.5922
이마트 동인천점,중구,235,17285.21,3,3,2,9,462,61,21,28,6483.0,1309,452.0,60272.0,73.55408510638297
이마트 연수점,연수구,356,7994.79,2,1,2,2,856,49,16,12,388761.0,818,547.0,65807.0,22.457275280898877
인천경제산업정보테크노파크,연수구,481,56706.87,0,0,3,3,236,121,13,7,102813.0,588,976.0,61914.0,117.89370062370062
인천공항 정부합동청사,중구,437,8148.95,0,0,1,0,30,10,0,0,295.0,150,117.0,488.0,18.647482837528603
인천공항물류단지 행정지원센터,중구,125,3976.65,0,0,0,0,47,4,0,2,50.0,9,140.0,2754.0,31.813200000000002
인천광역시 교통연수원,계양구,93,2078.84,0,9,0,0,125,12,8,1,5712.0,133,513.0,27973.0,22.353118279569895
인천교통공사 본사,남동구,163,5140.67,0,4,0,3,694,27,23,15,12438.0,1464,747.0,130463.0,31.537852760736197
인천나비공원 주차장,부평구,129,3330.1,0,3,1,0,567,11,7,6,5048.0,589,522.0,56551.0,25.814728682170543
인천서구청,서구,232,11003.5,2,11,0,8,267,60,7,9,18139.0,576,911.0,45067.0,47.428879310344826
인천서구청 제1주차장,서구,206,3224.46,2,11,0,7,272,57,7,9,18139.0,569,899.0,44998.0,15.652718446601941
인천서구청소년수련관,서구,157,4030.45,0,3,0,7,401,24,12,5,4730.0,744,604.0,65092.0,25.671656050955413
인천시청,남동구,480,58794.76,1,9,1,1,1059,77,24,27,22711.0,2628,842.0,173808.0,122.48908333333334
인천아시아드주경기장 D1주차장,서구,219,31039.17,2,13,0,7,304,61,10,9,25647.0,614,900.0,52466.0,141.7313698630137
인천아시안게임 남동경기장 1주차장,남동구,174,10145.37,2,5,0,1,306,39,9,10,21312.0,472,900.0,60212.0,58.30672413793104
인천업사이클 에코센터,미추홀구,449,23101.29,2,6,0,7,697,35,15,17,42512.0,1890,710.0,138111.0,51.45053452115813
인천전력관리처,부평구,304,10283.15,1,15,2,3,662,116,23,15,459373.0,1178,755.0,139566.0,33.826151315789474
인천정보산업테크노파크,서구,84,2382.64,0,0,0,0,59,14,0,0,1020.0,54,334.0,9809.0,28.364761904761902
인천직할,부평구,590,35338.48,1,10,2,1,734,113,17,15,451275.0,1234,721.0,144568.0,59.89572881355933
인천항 갑문홍보관,중구,88,2217.08,0,0,0,0,163,0,1,3,1543.0,335,329.0,2100.0,25.194090909090907
인천항 크루즈터미널,연수구,11,37.93,0,0,0,0,23,0,1,0,,0,270.0,3361.0,3.4481818181818182
장수서창 공영주차장,남동구,209,8414.03,2,4,0,0,192,43,9,6,22610.0,455,867.0,54118.0,40.25851674641149
중부지방고용노동청 별관 앞,남동구,650,53635.05,0,9,3,2,814,76,22,26,20876.0,2317,843.0,148827.0,82.51546153846154
차이나타운 주차장,중구,407,13346.03,0,7,1,6,376,38,13,20,3541.0,1097,371.0,42763.0,32.7912285012285
청라에너지,서구,552,36130.49,2,4,1,10,269,77,11,9,20460.0,911,855.0,71397.0,65.45378623188405
청라중앙호수공원 2주차장,서구,213,10253.31,0,2,2,8,172,66,8,2,3217.0,618,498.0,58830.0,48.13760563380281
하나로마트 인천점,계양구,208,6853.27,0,18,2,5,842,97,25,15,54483.0,1480,758.0,155623.0,32.948413461538465
한국환경공단(기후대기관),서구,179,8303.0,0,0,0,0,29,19,0,0,633.0,1,335.0,1265.0,46.385474860335194
현대시장 공영주차장,동구,52,1234.69,4,6,1,5,560,41,26,24,10210.0,941,596.0,67036.0,23.744038461538462
홈플러스 가좌점,서구,126,1813.4,0,7,1,13,983,77,12,9,9334.0,1025,665.0,73601.0,14.392063492063492
홈플러스 계산점,계양구,318,11688.85,4,27,3,1,660,106,26,20,53500.0,1740,832.0,148858.0,36.75738993710692
홈플러스 구월점,남동구,298,5795.48,0,9,3,2,821,83,25,26,19507.0,2309,854.0,152359.0,19.447919463087246
홈플러스 인천연수점,연수구,421,45747.62,1,2,2,2,922,54,15,12,396171.0,884,531.0,68072.0,108.66418052256533
홈플러스 인하점,미추홀구,231,4000.83,0,3,1,3,345,32,17,14,79119.0,1255,736.0,94149.0,17.31961038961039
홈플러스 작전점,계양구,331,17648.21,0,8,2,2,875,43,16,15,33725.0,1335,645.0,131408.0,53.317854984894254
