충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,교통량,생산가능인,음식점
G-Tower(경제자유구역청),30259.44000,408,인천광역시 연수구 아트센터대로 175,126.63379,37.39574,연수구,2,1,8,8,1279,328,52,23,510969.00000,4467.00000,205470.00000,2328
LH인천본부,63815.83000,612,인천광역시 남동구 논현로46번길 23,126.71239,37.40086,남동구,9,22,5,8,3168,210,57,33,538381.00000,4402.00000,249799.00000,2885
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,10538.65000,375,인천광역시 서구 원삭로 160  주차장 입구 우측 완속충전기 옆,126.66633,37.56302,서구,2,33,3,32,1651,227,39,21,74875.00000,4692.00000,233296.00000,2509
가좌2동 행정복지센터,7387.11000,196,인천광역시 서구 가좌동 30-105,126.68485,37.49084,서구,6,37,5,39,6362,399,129,113,203572.00000,5024.00000,715367.00000,8993
갈산역 공영주차장,3879.41000,131,인천광역시 부평구 갈산동 192,126.72349,37.51556,부평구,5,65,8,26,3800,320,132,86,687221.00000,4356.00000,641384.00000,6651
강화군청,29291.07000,517,"인천광역시 강화군 강화읍 강화대로 394 (관청리, 강화군청)",126.48773,37.74613,강화군,2,5,0,1,245,38,11,17,1031.00000,1230.00000,19956.00000,536
강화지사,10877.10000,342,"인천광역시 강화군 강화읍 강화대로 278 (갑곳리, 한국전력공사강화지점)",126.49913,37.74187,강화군,2,5,0,1,236,38,10,17,1031.00000,1179.00000,19764.00000,529
강화풍물시장 공영주차장,27766.94000,597,인천광역시 강화군 강화읍 갑곳리 849  고엽제전우회 건물 옆,126.49287,37.74142,강화군,2,5,0,1,238,40,11,17,1031.00000,1283.00000,20003.00000,536
검단2공영주차장,44358.60000,630,인천광역시 서구 당하동 1097-5  검단4동 주민센터 옆,126.67502,37.59202,서구,0,19,1,21,1464,124,34,13,48109.00000,3740.00000,155020.00000,1389
계산1택지 공영주차장,27959.93000,606,인천광역시 계양구 계산동 1060  구두수선방 옆,126.73676,37.54099,계양구,5,67,6,9,2342,262,83,51,554404.00000,3732.00000,411819.00000,4086
계양구 공영주차장,26312.12000,579,"인천광역시 계양구 봉오대로 679-1 , 작전역 2번 출구 100m 앞",126.72446,37.53091,계양구,5,71,7,14,3385,302,116,69,686430.00000,4446.00000,552562.00000,5731
계양구청,37413.06000,482,인천광역시 계양구 계산새로 88,126.73776,37.53744,계양구,5,68,6,9,2565,270,95,57,599200.00000,3668.00000,444761.00000,4379
남동복지관,6835.96000,136,인천광역시 남동구 소래로 645,126.73307,37.44761,남동구,11,33,3,7,2914,246,85,72,101496.00000,5333.00000,492091.00000,6179
