충전소,충전량_kWh,충전일수,주소,X좌표,Y좌표,시군구명,도서관,민행기,변압기,전기차,경제인구수,주차면수,건물수
G-Tower(경제자유구역청),30259.44000,408,인천광역시 연수구 아트센터대로 175,126.63379,37.39574,연수구,10,81,1655,347,231892.00000,584279.00000,692.00000
LH인천본부,63815.83000,612,인천광역시 남동구 논현로46번길 23,126.71239,37.40086,남동구,8,113,3409,276,313685.00000,579758.00000,838.00000
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,10538.65000,375,인천광역시 서구 원삭로 160  주차장 입구 우측 완속충전기 옆,126.66633,37.56302,서구,38,83,2204,257,293805.00000,77361.00000,223.00000
가좌2동 행정복지센터,7387.11000,196,인천광역시 서구 가좌동 30-105,126.68485,37.49084,서구,47,309,7451,478,904319.00000,618835.00000,910.00000
갈산역 공영주차장,3879.41000,131,인천광역시 부평구 갈산동 192,126.72349,37.51556,부평구,37,250,4245,341,721877.00000,702499.00000,736.00000
강화군청,29291.07000,517,"인천광역시 강화군 강화읍 강화대로 394 (관청리, 강화군청)",126.48773,37.74613,강화군,1,28,258,43,20563.00000,1031.00000,11.00000
강화지사,10877.10000,342,"인천광역시 강화군 강화읍 강화대로 278 (갑곳리, 한국전력공사강화지점)",126.49913,37.74187,강화군,1,28,244,42,20118.00000,1031.00000,11.00000
강화풍물시장 공영주차장,27766.94000,597,인천광역시 강화군 강화읍 갑곳리 849  고엽제전우회 건물 옆,126.49287,37.74142,강화군,1,28,247,43,20283.00000,1031.00000,11.00000
검단2공영주차장,44358.60000,630,인천광역시 서구 당하동 1097-5  검단4동 주민센터 옆,126.67502,37.59202,서구,22,53,1658,133,170408.00000,56011.00000,157.00000
계산1택지 공영주차장,27959.93000,606,인천광역시 계양구 계산동 1060  구두수선방 옆,126.73676,37.54099,계양구,11,162,2879,287,484815.00000,619537.00000,500.00000
계양구 공영주차장,26312.12000,579,"인천광역시 계양구 봉오대로 679-1 , 작전역 2번 출구 100m 앞",126.72446,37.53091,계양구,26,213,3908,363,654208.00000,703462.00000,716.00000
계양구청,37413.06000,482,인천광역시 계양구 계산새로 88,126.73776,37.53744,계양구,11,169,3040,295,515047.00000,673899.00000,569.00000
남동복지관,6835.96000,136,인천광역시 남동구 소래로 645,126.73307,37.44761,남동구,10,190,3873,276,592518.00000,171204.00000,556.00000
남인천지사,54738.75000,604,인천광역시 연수구 비류대로 304,126.66832,37.42504,연수구,23,214,5449,467,631206.00000,802541.00000,1249.00000
늘솔길공원 3주차장,9586.64000,214,인천광역시 남동구 논현동 762-3,126.71980,37.38774,남동구,6,77,2870,183,210342.00000,474016.00000,619.00000
덕산국민여가캠핑장,5476.50000,202,인천광역시 강화군 내가면 고천리 산494,126.38051,37.71759,강화군,1,8,61,12,2458.00000,56.00000,1.00000
도원역 부근 공영주차장,41758.46000,637,인천광역시 중구 도원동 5-7  주차장 입구,126.64153,37.46704,중구,37,215,5211,318,496756.00000,237035.00000,642.00000
동구청앞 공영주차장,5429.37000,175,인천광역시 동구 금곡동 금곡로 68,126.64306,37.47292,동구,37,209,5302,305,482424.00000,179535.00000,588.00000
롯데마트 검단점,28768.72000,499,인천광역시 서구 원당대로 581 (마전동),126.66457,37.59453,서구,22,47,1772,136,161761.00000,52848.00000,150.00000
롯데마트 부평역점,20124.35000,501,인천광역시 부평구 광장로 16 (부평동),126.72335,37.48957,부평구,33,284,5970,369,869045.00000,698200.00000,872.00000
롯데마트 연수점,16488.97000,335,"인천광역시 연수구 청능대로 87, 2층 206",126.67517,37.41512,연수구,20,191,4798,445,527815.00000,796477.00000,1140.00000
롯데마트 영종도점,29106.06000,516,인천광역시 중구 흰바위로 51 지상주차장 4층,126.49121,37.49267,중구,1,20,299,71,30627.00000,3786.00000,22.00000
롯데마트 청라점,51481.52000,524,인천광역시 서구 청라 커낼로 252(경서동),126.63260,37.53466,서구,30,65,2303,227,227209.00000,65924.00000,239.00000
마니산국민관광지,14954.29000,400,인천광역시 강화군 화도면 마니산로675번길 18,126.42380,37.63246,강화군,0,13,88,17,3376.00000,854.00000,7.00000
모탱이공원,11623.37000,222,인천광역시 계양구 동양동 607-1,126.75489,37.56187,계양구,4,82,1313,137,239603.00000,87288.00000,166.00000
부원 공영주차장,36475.69000,589,인천광역시 부평구 부평동 341-193  주차장 입구 오른쪽,126.71936,37.49232,부평구,38,279,6349,396,886962.00000,702433.00000,903.00000
부평국민체육센터,13994.98000,295,"인천광역시 부평구 부평대로296번길 33 (갈산동, 부평구 다목적 실내체육관)",126.72347,37.51863,부평구,35,243,4203,339,719791.00000,701516.00000,729.00000
부평깡시장 공영주차장,4333.53000,131,인천광역시 부평구 부흥로 315,126.72685,37.49867,부평구,33,273,5153,364,818055.00000,687770.00000,773.00000
부평아트센터,12668.92000,334,"인천광역시 부평구 아트센터로 166 (십정동, 부평아트센터)",126.70516,37.48226,부평구,43,313,7232,485,934192.00000,691229.00000,971.00000
삼산농산물도매시장,6254.46000,257,"인천광역시 부평구 영성동로 46 (삼산동, 삼산농산물도매시장)",126.74900,37.52182,부평구,15,191,3485,310,567432.00000,688401.00000,649.00000
서곶근린공원 제1주차장,4226.91000,137,인천광역시 서구 연희동 산150-5,126.68152,37.54711,서구,38,142,3093,338,440107.00000,94244.00000,344.00000
서림초교 뒤 공영주차장,18985.67000,408,인천광역시 동구 송림동 125-3,126.64820,37.47644,동구,42,225,5517,310,527290.00000,179345.00000,601.00000
서운체육공원 주차장,4720.24000,196,인천광역시 계양구 서운동 207,126.74750,37.53262,계양구,12,163,3114,293,508150.00000,672795.00000,584.00000
소래제1주차장,4506.32000,133,인천광역시 남동구 논현동 754-4,126.73644,37.39779,남동구,5,59,2785,160,188293.00000,191255.00000,362.00000
송도골프,22123.05000,432,인천광역시 연수구 능허대로 236,126.65056,37.41487,연수구,16,157,3586,417,447284.00000,760706.00000,1037.00000
송도컨벤시아,25121.35000,496,"인천광역시 연수구 센트럴로 123 , 지하주차장 1층",126.64555,37.38814,연수구,10,88,2155,361,239826.00000,611418.00000,753.00000
송림체육관,30617.47000,595,인천광역시 동구 염전로 30,126.64758,37.48439,동구,46,222,5280,327,520118.00000,157343.00000,543.00000
신기남부종합시장 주차장,7561.01000,142,인천광역시 미추홀구 주안동 1311-17,126.67865,37.44622,미추홀구,31,303,6330,415,793604.00000,702561.00000,1294.00000
신문리 공영주차장,7411.52000,164,인천광역시 강화군 강화읍 향나무길 20 (신문리),126.47916,37.74653,강화군,1,29,272,44,20699.00000,1163.00000,12.00000
십리포해수욕장 주차장,1561.03000,68,인천광역시 옹진군 영흥면 영흥북로 382,126.48647,37.28147,옹진군,1,8,63,8,3408.00000,376.00000,2.00000
아트센터인천,11356.43000,212,인천광역시 연수구 아트센터대로 222,126.62701,37.39378,연수구,8,74,1221,317,202055.00000,495438.00000,582.00000
