충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,교통량,주차면,생산가능인,음식점
G-Tower(경제자유구역청),30259.44000,408,인천광역시 연수구 아트센터대로 175,126.63379,37.39574,연수구,0,0,1,0,22,23,0,1,142.00000,1613.00000,10278.00000,52
LH인천본부,63815.83000,612,인천광역시 남동구 논현로46번길 23,126.71239,37.40086,남동구,0,1,0,0,89,5,0,2,116.00000,3440.00000,13471.00000,118
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,10538.65000,375,인천광역시 서구 원삭로 160  주차장 입구 우측 완속충전기 옆,126.66633,37.56302,서구,0,0,0,0,91,0,0,0,110.00000,538.00000,3628.00000,1
가좌2동 행정복지센터,7387.11000,196,인천광역시 서구 가좌동 30-105,126.68485,37.49084,서구,0,4,0,5,68,4,7,5,88.00000,1566.00000,29228.00000,169
갈산역 공영주차장,3879.41000,131,인천광역시 부평구 갈산동 192,126.72349,37.51556,부평구,0,2,0,1,71,15,1,3,125.00000,7566.00000,16650.00000,141
강화군청,29291.07000,517,"인천광역시 강화군 강화읍 강화대로 394 (관청리, 강화군청)",126.48773,37.74613,강화군,0,0,0,0,44,5,2,5,30.00000,72.00000,3503.00000,221
강화지사,10877.10000,342,"인천광역시 강화군 강화읍 강화대로 278 (갑곳리, 한국전력공사강화지점)",126.49913,37.74187,강화군,0,1,0,0,17,2,2,3,36.00000,100.00000,4094.00000,51
강화풍물시장 공영주차장,27766.94000,597,인천광역시 강화군 강화읍 갑곳리 849  고엽제전우회 건물 옆,126.49287,37.74142,강화군,0,0,0,0,31,2,1,3,45.00000,456.00000,2157.00000,118
검단2공영주차장,44358.60000,630,인천광역시 서구 당하동 1097-5  검단4동 주민센터 옆,126.67502,37.59202,서구,0,1,0,4,115,12,2,1,105.00000,1748.00000,26315.00000,226
계산1택지 공영주차장,27959.93000,606,인천광역시 계양구 계산동 1060  구두수선방 옆,126.73676,37.54099,계양구,0,5,2,0,104,42,1,7,152.00000,13157.00000,37560.00000,261
계양구 공영주차장,26312.12000,579,"인천광역시 계양구 봉오대로 679-1 , 작전역 2번 출구 100m 앞",126.72446,37.53091,계양구,0,1,0,0,113,2,1,3,114.00000,479.00000,23750.00000,291
계양구청,37413.06000,482,인천광역시 계양구 계산새로 88,126.73776,37.53744,계양구,0,6,2,1,133,54,4,8,142.00000,6274.00000,36632.00000,395
남동복지관,6835.96000,136,인천광역시 남동구 소래로 645,126.73307,37.44761,남동구,0,1,0,0,88,14,3,4,122.00000,3360.00000,18937.00000,147
남인천지사,54738.75000,604,인천광역시 연수구 비류대로 304,126.66832,37.42504,연수구,0,0,0,0,33,17,1,1,153.00000,15260.00000,16874.00000,70
늘솔길공원 3주차장,9586.64000,214,인천광역시 남동구 논현동 762-3,126.71980,37.38774,남동구,0,2,0,0,51,8,4,0,125.00000,294.00000,3471.00000,11
덕산국민여가캠핑장,5476.50000,202,인천광역시 강화군 내가면 고천리 산494,126.38051,37.71759,강화군,0,0,0,0,5,0,0,0,21.00000,,43.00000,0
도원역 부근 공영주차장,41758.46000,637,인천광역시 중구 도원동 5-7  주차장 입구,126.64153,37.46704,중구,3,1,1,2,41,2,5,3,70.00000,760.00000,16365.00000,134
