gid,충전량_kWh,충전일수,충전소,건물수,생산가능인구,도서관,변압기,전기차,주차면수,학교,민행기_SN,음식점,경기장,대형마트,교통량,공원,Score
다사27aa49bb,14227.96,438,2,4,204,1,24,30,712,0,2,64,0,0,7,0,0.7810748860641968
다사32ab49aa,0.0,0,0,3,807,0,18,31,1536,0,1,41,0,0,7,1,0.7363220909380084
다사31aa45ba,0.0,0,0,1,254,0,7,29,61,0,2,11,0,0,7,0,0.6666585197061307
다사25ab31ba,0.0,0,0,0,154,0,3,1,0,0,0,61,0,2,7,0,0.6316253731525093
다사32aa49ba,0.0,0,0,1,1126,0,13,22,257,1,0,26,0,0,7,0,0.6275952986215184
다사32ba49aa,11688.85,318,1,6,688,0,23,1,1716,0,0,121,0,1,7,0,0.6108428622731603
다사25aa48ab,0.0,0,0,0,2612,2,11,1,0,0,3,128,0,0,5,0,0.5936669744689812
다사32ba48ba,0.0,0,0,2,728,0,24,10,193,0,1,124,0,0,6,1,0.5872276585101779
다사24bb32bb,0.0,0,0,1,1919,1,14,2,4892,0,3,17,0,0,8,0,0.5515852359876967
다사31ab33bb,0.0,0,0,4,582,0,11,1,1772,0,0,39,0,2,5,0,0.5472989886059685
다사29ab38ab,0.0,0,0,1,0,0,1,0,2179,0,0,26,0,2,6,0,0.5333435113937451
다사27ab35aa,0.0,0,0,1,670,0,4,2,65,2,1,135,0,0,5,0,0.5323761601466991
다사32ba38ba,0.0,0,0,4,639,0,13,1,200,1,3,120,0,0,5,0,0.5315131759813506
다사30ba46aa,0.0,0,0,0,0,0,2,32,0,0,0,0,0,0,5,0,0.526002447894496
다사29ab36ab,0.0,0,0,5,1704,0,12,1,1312,1,1,7,0,0,9,0,0.5196098652850892
다사25bb43ba,0.0,0,0,3,0,0,4,26,763,0,0,9,0,0,6,0,0.5180759303017904
다사33aa36bb,0.0,0,0,0,2526,0,4,1,0,1,0,2,0,0,9,1,0.512801620143719
다사32ba49ab,27959.93,606,1,2,1834,0,1,1,665,0,0,4,0,1,7,1,0.495945755273877
다사30ab39ba,0.0,0,0,1,3700,0,4,2,199,0,1,9,0,0,8,0,0.49304534233200525
다사23ab39ab,0.0,0,0,5,1593,0,13,0,4416,0,0,92,0,0,8,0,0.4897870094915756
다사32ba48bb,37413.06,482,1,1,28,0,12,5,88,0,3,40,0,0,7,0,0.4897126008394328
다사23ba39ba,0.0,0,0,1,1203,0,7,1,52,0,0,97,0,0,8,0,0.48730062564393856
다사32ba48aa,0.0,0,0,1,2558,0,5,0,762,0,0,15,0,1,6,1,0.4845422801440507
다사30ba39bb,0.0,0,0,2,1643,0,8,1,127,2,1,6,0,0,7,0,0.4797788070512331
다사32ab45ba,0.0,0,0,7,799,0,21,0,522,0,0,158,0,0,6,0,0.47500264981725765
다사23ba39bb,0.0,0,0,1,1751,0,13,0,52,0,1,49,0,0,8,0,0.4748716714219979
다사26aa32ba,0.0,0,0,0,1002,0,2,6,0,0,0,53,0,0,8,0,0.4738560148838553
다사26aa43bb,0.0,0,0,1,0,0,23,24,168,0,0,4,0,0,5,0,0.47349495791451013
다사33aa37aa,0.0,0,0,0,1789,0,1,6,0,0,0,1,0,0,9,0,0.47283137940226
다사30ab38ba,0.0,0,0,0,2137,0,1,7,0,0,0,0,0,0,8,1,0.4694777661811604
다사26ba35bb,0.0,0,0,5,718,0,3,0,4703,2,2,5,0,0,7,0,0.46946464954411876
다사29ab38ba,0.0,0,0,11,123,0,26,2,3498,0,0,147,0,0,6,0,0.46878187471995486
다사31ab40ba,0.0,0,0,4,2818,0,5,1,789,1,1,10,0,0,7,0,0.4675937419128016
다사30aa39bb,0.0,0,0,0,2342,0,3,2,0,2,0,0,0,0,7,0,0.46446131610391517
다사24bb33aa,0.0,0,0,6,738,0,7,0,1198,0,0,97,0,0,8,0,0.46394729882907176
다사27ba40ba,0.0,0,0,7,512,0,41,0,859,0,0,136,0,0,6,0,0.4631648218049127
다사24ba30bb,0.0,0,0,0,560,0,2,16,0,0,0,3,0,0,7,0,0.46292404482360766
다사32aa45ba,0.0,0,0,2,996,0,6,2,1412,0,0,31,0,1,6,0,0.4628500625977072
다사30ab39bb,0.0,0,0,0,3456,0,2,4,0,0,1,7,0,0,7,0,0.4618331895966674
다사31ab49ba,0.0,0,0,3,1525,0,24,1,432,1,1,35,0,0,6,1,0.4596239702609306
다사30aa38bb,0.0,0,0,2,1724,0,3,4,122,1,0,0,0,0,8,0,0.4593862246859085
다사32bb45ab,0.0,0,0,10,1757,0,5,2,7275,2,0,11,0,0,6,2,0.45929423111519074
다사26aa32ab,0.0,0,0,0,2756,0,0,6,0,0,0,0,0,0,8,0,0.4584868140853221
다사30ba40ba,0.0,0,0,0,1133,0,13,0,0,1,1,43,0,0,7,0,0.45754304049495537
다사24bb40bb,0.0,0,0,0,424,0,7,22,0,0,1,18,0,0,4,0,0.4568227368727972
다사24bb44aa,0.0,0,0,0,0,0,28,10,0,0,0,3,0,0,8,0,0.45528385075672373
다사28aa40aa,0.0,0,0,4,616,0,13,1,334,0,2,57,0,0,7,0,0.4548922139985014
다사27bb37bb,0.0,0,0,2,1697,0,9,0,116,0,3,49,0,0,6,0,0.4545159983111133
다사29ba39ab,0.0,0,0,9,1537,0,32,4,1072,0,0,45,0,0,7,0,0.4537824614289641
다사32ba49bb,0.0,0,0,3,1502,0,21,0,1395,0,0,75,0,0,7,1,0.4531726399872518
다사32bb49bb,0.0,0,0,10,1444,0,9,1,13316,2,0,12,0,0,7,0,0.4515336614102278
다사23aa32bb,0.0,0,0,0,2168,0,4,14,0,0,0,3,0,0,6,0,0.45131143489284326
다사28ab41ab,0.0,0,0,3,1725,0,6,0,1337,0,0,20,0,1,6,0,0.4503140655130455
다사32aa40ba,0.0,0,0,1,2756,0,5,4,83,0,2,17,0,0,6,0,0.44998433418320105
다사27ab45bb,0.0,0,0,3,2452,0,5,0,243,1,2,18,0,0,6,0,0.44930411215635435
다사26ab35bb,0.0,0,0,6,796,0,3,1,5795,0,0,2,0,1,7,0,0.4492018232073947
다사30aa38ab,0.0,0,0,0,568,0,11,0,0,0,0,85,0,0,8,0,0.44906367222933335
다사27ab46ab,0.0,0,0,4,1989,0,10,3,630,1,0,20,0,0,7,0,0.44904065060669796
다사30ab39aa,0.0,0,0,1,1328,0,36,2,119,0,0,25,0,0,8,0,0.4477304367931583
