충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,음식점,교통량,생산가능인
G-Tower(경제자유구역청),30259.44000,408,인천광역시 연수구 아트센터대로 175,126.63379,37.39574,연수구,0,0,3,0,163,103,9,2,55103.00000,512,874.00000,47682.00000
LH인천본부,63815.83000,612,인천광역시 남동구 논현로46번길 23,126.71239,37.40086,남동구,0,9,2,4,1030,39,9,6,47144.00000,570,734.00000,47098.00000
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,10538.65000,375,인천광역시 서구 원삭로 160  주차장 입구 우측 완속충전기 옆,126.66633,37.56302,서구,0,7,0,4,244,28,6,3,23261.00000,258,790.00000,38879.00000
가좌2동 행정복지센터,7387.11000,196,인천광역시 서구 가좌동 30-105,126.68485,37.49084,서구,2,7,1,11,538,10,12,8,5963.00000,574,539.00000,53885.00000
갈산역 공영주차장,3879.41000,131,인천광역시 부평구 갈산동 192,126.72349,37.51556,부평구,0,8,2,2,737,109,14,16,76009.00000,1200,685.00000,145339.00000
강화군청,29291.07000,517,"인천광역시 강화군 강화읍 강화대로 394 (관청리, 강화군청)",126.48773,37.74613,강화군,0,3,0,1,113,12,8,9,616.00000,382,198.00000,11966.00000
강화지사,10877.10000,342,"인천광역시 강화군 강화읍 강화대로 278 (갑곳리, 한국전력공사강화지점)",126.49913,37.74187,강화군,0,3,0,0,109,15,5,8,747.00000,354,222.00000,10780.00000
강화풍물시장 공영주차장,27766.94000,597,인천광역시 강화군 강화읍 갑곳리 849  고엽제전우회 건물 옆,126.49287,37.74142,강화군,0,3,0,1,113,16,5,9,747.00000,400,252.00000,12573.00000
검단2공영주차장,44358.60000,630,인천광역시 서구 당하동 1097-5  검단4동 주민센터 옆,126.67502,37.59202,서구,0,6,1,6,252,29,12,1,5289.00000,356,657.00000,46954.00000
계산1택지 공영주차장,27959.93000,606,인천광역시 계양구 계산동 1060  구두수선방 옆,126.73676,37.54099,계양구,4,25,3,1,605,106,26,19,52866.00000,1613,846.00000,144607.00000
계양구 공영주차장,26312.12000,579,"인천광역시 계양구 봉오대로 679-1 , 작전역 2번 출구 100m 앞",126.72446,37.53091,계양구,0,15,3,2,920,83,27,21,46367.00000,1828,709.00000,157541.00000
