충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,음식점,주차면,교통량,생산가능인
G-Tower(경제자유구역청),30259.44000,408,인천광역시 연수구 아트센터대로 175,126.63379,37.39574,연수구,0,0,3,3,350,153,19,7,749,100224.00000,2067.00000,73601.00000
LH인천본부,63815.83000,612,인천광역시 남동구 논현로46번길 23,126.71239,37.40086,남동구,0,17,2,4,2154,87,22,12,1039,74882.00000,1679.00000,95694.00000
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,10538.65000,375,인천광역시 서구 원삭로 160  주차장 입구 우측 완속충전기 옆,126.66633,37.56302,서구,1,12,0,9,621,91,15,10,789,50591.00000,1864.00000,71649.00000
가좌2동 행정복지센터,7387.11000,196,인천광역시 서구 가좌동 30-105,126.68485,37.49084,서구,3,15,3,15,1783,111,39,22,1739,50470.00000,1478.00000,183402.00000
갈산역 공영주차장,3879.41000,131,인천광역시 부평구 갈산동 192,126.72349,37.51556,부평구,1,32,5,11,2177,185,67,43,3719,628585.00000,1595.00000,378243.00000
강화군청,29291.07000,517,"인천광역시 강화군 강화읍 강화대로 394 (관청리, 강화군청)",126.48773,37.74613,강화군,2,5,0,1,172,24,9,10,451,805.00000,475.00000,16644.00000
강화지사,10877.10000,342,"인천광역시 강화군 강화읍 강화대로 278 (갑곳리, 한국전력공사강화지점)",126.49913,37.74187,강화군,0,4,0,1,174,23,9,9,452,805.00000,509.00000,16412.00000
강화풍물시장 공영주차장,27766.94000,597,인천광역시 강화군 강화읍 갑곳리 849  고엽제전우회 건물 옆,126.49287,37.74142,강화군,0,4,0,1,169,29,9,9,467,805.00000,569.00000,17067.00000
검단2공영주차장,44358.60000,630,인천광역시 서구 당하동 1097-5  검단4동 주민센터 옆,126.67502,37.59202,서구,0,9,1,13,607,56,19,7,927,9874.00000,1501.00000,95401.00000
계산1택지 공영주차장,27959.93000,606,인천광역시 계양구 계산동 1060  구두수선방 옆,126.73676,37.54099,계양구,4,35,4,4,1185,124,52,23,2224,84038.00000,1801.00000,225146.00000
계양구 공영주차장,26312.12000,579,"인천광역시 계양구 봉오대로 679-1 , 작전역 2번 출구 100m 앞",126.72446,37.53091,계양구,4,36,5,5,1713,193,59,36,2925,113604.00000,1829.00000,292558.00000
계양구청,37413.06000,482,인천광역시 계양구 계산새로 88,126.73776,37.53744,계양구,4,36,4,5,1297,144,56,25,2398,89702.00000,1808.00000,242684.00000
남동복지관,6835.96000,136,인천광역시 남동구 소래로 645,126.73307,37.44761,남동구,3,14,0,1,1052,135,36,27,2280,41515.00000,2244.00000,230798.00000
남인천지사,54738.75000,604,인천광역시 연수구 비류대로 304,126.66832,37.42504,연수구,4,4,2,7,902,107,45,32,2512,529652.00000,1896.00000,205744.00000
늘솔길공원 3주차장,9586.64000,214,인천광역시 남동구 논현동 762-3,126.71980,37.38774,남동구,0,12,2,4,1240,76,17,8,876,43629.00000,1023.00000,73171.00000
