충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,교통량,생산가능인,음식점
G-Tower(경제자유구역청),30259.44000,408,인천광역시 연수구 아트센터대로 175,126.63379,37.39574,연수구,2,0,5,5,696,248,32,12,242432.00000,3166.00000,142233.00000,1527
LH인천본부,63815.83000,612,인천광역시 남동구 논현로46번길 23,126.71239,37.40086,남동구,2,20,3,5,2708,138,38,22,372564.00000,2828.00000,170738.00000,1953
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,10538.65000,375,인천광역시 서구 원삭로 160  주차장 입구 우측 완속충전기 옆,126.66633,37.56302,서구,2,22,1,18,1063,148,26,12,62560.00000,3173.00000,129491.00000,1281
가좌2동 행정복지센터,7387.11000,196,인천광역시 서구 가좌동 30-105,126.68485,37.49084,서구,4,22,4,33,3961,184,85,59,151222.00000,3047.00000,427754.00000,5151
갈산역 공영주차장,3879.41000,131,인천광역시 부평구 갈산동 192,126.72349,37.51556,부평구,5,52,8,13,3326,296,103,68,657776.00000,2787.00000,525009.00000,5629
강화군청,29291.07000,517,"인천광역시 강화군 강화읍 강화대로 394 (관청리, 강화군청)",126.48773,37.74613,강화군,2,5,0,1,212,34,9,13,875.00000,843.00000,18682.00000,507
강화지사,10877.10000,342,"인천광역시 강화군 강화읍 강화대로 278 (갑곳리, 한국전력공사강화지점)",126.49913,37.74187,강화군,2,5,0,1,209,33,10,11,961.00000,807.00000,18225.00000,494
강화풍물시장 공영주차장,27766.94000,597,인천광역시 강화군 강화읍 갑곳리 849  고엽제전우회 건물 옆,126.49287,37.74142,강화군,2,5,0,1,216,34,10,15,961.00000,890.00000,18639.00000,513
검단2공영주차장,44358.60000,630,인천광역시 서구 당하동 1097-5  검단4동 주민센터 옆,126.67502,37.59202,서구,0,13,1,19,1039,100,31,11,46001.00000,2569.00000,136051.00000,1244
계산1택지 공영주차장,27959.93000,606,인천광역시 계양구 계산동 1060  구두수선방 옆,126.73676,37.54099,계양구,4,51,4,6,1775,170,65,35,140685.00000,2693.00000,308206.00000,2870
계양구 공영주차장,26312.12000,579,"인천광역시 계양구 봉오대로 679-1 , 작전역 2번 출구 100m 앞",126.72446,37.53091,계양구,5,51,7,10,2416,259,86,50,584682.00000,3118.00000,421380.00000,4185
계양구청,37413.06000,482,인천광역시 계양구 계산새로 88,126.73776,37.53744,계양구,5,52,5,6,1850,203,69,36,517038.00000,2689.00000,326702.00000,3172
남동복지관,6835.96000,136,인천광역시 남동구 소래로 645,126.73307,37.44761,남동구,6,23,3,3,1873,203,54,41,55707.00000,3821.00000,317951.00000,4165
남인천지사,54738.75000,604,인천광역시 연수구 비류대로 304,126.66832,37.42504,연수구,11,10,4,11,2169,178,71,46,623672.00000,3651.00000,318203.00000,4157
늘솔길공원 3주차장,9586.64000,214,인천광역시 남동구 논현동 762-3,126.71980,37.38774,남동구,0,19,2,4,2092,88,21,12,69614.00000,1796.00000,82005.00000,1031
덕산국민여가캠핑장,5476.50000,202,인천광역시 강화군 내가면 고천리 산494,126.38051,37.71759,강화군,0,2,0,1,48,5,3,4,56.00000,681.00000,1557.00000,112
도원역 부근 공영주차장,41758.46000,637,인천광역시 중구 도원동 5-7  주차장 입구,126.64153,37.46704,중구,7,18,3,21,2778,237,66,71,128903.00000,2927.00000,271411.00000,4592
동구청앞 공영주차장,5429.37000,175,인천광역시 동구 금곡동 금곡로 68,126.64306,37.47292,동구,7,17,3,20,3128,249,64,69,79577.00000,2889.00000,258454.00000,4457
