충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,교통량,생산가능인구,음식점
G-Tower(경제자유구역청),30259.44000,408,인천광역시 연수구 아트센터대로 175,126.63379,37.39574,연수구,4,1,8,10,2059,358,61,29,640941.00000,6076.00000,259217.00000,2982
LH인천본부,63815.83000,612,인천광역시 남동구 논현로46번길 23,126.71239,37.40086,남동구,12,33,9,13,3875,338,82,53,606701.00000,6257.00000,399024.00000,5077
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,10538.65000,375,인천광역시 서구 원삭로 160  주차장 입구 우측 완속충전기 옆,126.66633,37.56302,서구,2,41,3,42,2789,282,74,32,83276.00000,6393.00000,355970.00000,3544
가좌2동 행정복지센터,7387.11000,196,인천광역시 서구 가좌동 30-105,126.68485,37.49084,서구,11,63,10,61,8487,559,204,174,728870.00000,7488.00000,1078353.00000,14305
갈산역 공영주차장,3879.41000,131,인천광역시 부평구 갈산동 192,126.72349,37.51556,부평구,7,87,9,43,5067,421,167,108,712348.00000,6203.00000,789102.00000,8770
강화군청,29291.07000,517,"인천광역시 강화군 강화읍 강화대로 394 (관청리, 강화군청)",126.48773,37.74613,강화군,2,6,0,1,280,45,13,17,1163.00000,1703.00000,20835.00000,551
강화지사,10877.10000,342,"인천광역시 강화군 강화읍 강화대로 278 (갑곳리, 한국전력공사강화지점)",126.49913,37.74187,강화군,2,5,0,1,253,43,11,17,1031.00000,1634.00000,20461.00000,544
강화풍물시장 공영주차장,27766.94000,597,인천광역시 강화군 강화읍 갑곳리 849  고엽제전우회 건물 옆,126.49287,37.74142,강화군,2,5,0,1,275,45,13,17,1163.00000,1767.00000,20790.00000,548
검단2공영주차장,44358.60000,630,인천광역시 서구 당하동 1097-5  검단4동 주민센터 옆,126.67502,37.59202,서구,1,30,1,25,2047,181,40,22,65571.00000,4927.00000,187383.00000,1928
계산1택지 공영주차장,27959.93000,606,인천광역시 계양구 계산동 1060  구두수선방 옆,126.73676,37.54099,계양구,5,82,7,14,3369,343,114,72,690814.00000,5081.00000,547785.00000,5642
계양구 공영주차장,26312.12000,579,"인천광역시 계양구 봉오대로 679-1 , 작전역 2번 출구 100m 앞",126.72446,37.53091,계양구,7,90,8,39,4377,409,152,100,721717.00000,5913.00000,756672.00000,7957
계양구청,37413.06000,482,인천광역시 계양구 계산새로 88,126.73776,37.53744,계양구,5,82,8,14,3546,317,119,73,689419.00000,4986.00000,564595.00000,5899
남동복지관,6835.96000,136,인천광역시 남동구 소래로 645,126.73307,37.44761,남동구,13,46,7,13,4866,321,122,106,226214.00000,6655.00000,706614.00000,9821
남인천지사,54738.75000,604,인천광역시 연수구 비류대로 304,126.66832,37.42504,연수구,16,31,14,26,6265,547,144,117,828139.00000,8719.00000,729592.00000,10507
늘솔길공원 3주차장,9586.64000,214,인천광역시 남동구 논현동 762-3,126.71980,37.38774,남동구,6,22,4,8,3151,225,56,32,538453.00000,4545.00000,249168.00000,2884
덕산국민여가캠핑장,5476.50000,202,인천광역시 강화군 내가면 고천리 산494,126.38051,37.71759,강화군,0,4,0,1,73,14,7,9,346.00000,1574.00000,3011.00000,161
도원역 부근 공영주차장,41758.46000,637,인천광역시 중구 도원동 5-7  주차장 입구,126.64153,37.46704,중구,12,37,5,41,5775,349,122,120,252662.00000,6220.00000,564241.00000,9311
동구청앞 공영주차장,5429.37000,175,인천광역시 동구 금곡동 금곡로 68,126.64306,37.47292,동구,10,40,5,44,5847,341,123,123,243888.00000,6173.00000,579350.00000,9365
롯데마트 검단점,28768.72000,499,인천광역시 서구 원당대로 581 (마전동),126.66457,37.59453,서구,1,24,1,22,2081,145,38,15,57646.00000,4647.00000,173352.00000,1669
롯데마트 부평역점,20124.35000,501,인천광역시 부평구 광장로 16 (부평동),126.72335,37.48957,부평구,8,75,9,41,7195,505,183,145,721298.00000,6543.00000,979059.00000,12544
롯데마트 연수점,16488.97000,335,"인천광역시 연수구 청능대로 87, 2층 206",126.67517,37.41512,연수구,13,38,14,24,5655,569,134,94,843412.00000,8854.00000,677330.00000,9176
롯데마트 영종도점,29106.06000,516,인천광역시 중구 흰바위로 51 지상주차장 4층,126.49121,37.49267,중구,0,6,2,2,316,75,14,7,3786.00000,1607.00000,36982.00000,601
롯데마트 청라점,51481.52000,524,인천광역시 서구 청라 커낼로 252(경서동),126.63260,37.53466,서구,2,31,3,32,2722,252,46,29,84453.00000,5395.00000,249538.00000,3117
마니산국민관광지,14954.29000,400,인천광역시 강화군 화도면 마니산로675번길 18,126.42380,37.63246,강화군,0,0,0,0,105,21,7,8,1020.00000,1838.00000,4099.00000,205
모탱이공원,11623.37000,222,인천광역시 계양구 동양동 607-1,126.75489,37.56187,계양구,4,56,4,6,1535,148,63,31,92737.00000,3411.00000,273840.00000,2700
부원 공영주차장,36475.69000,589,인천광역시 부평구 부평동 341-193  주차장 입구 오른쪽,126.71936,37.49232,부평구,8,81,10,43,7406,539,185,145,720414.00000,6737.00000,1005302.00000,12568
부평국민체육센터,13994.98000,295,"인천광역시 부평구 부평대로296번길 33 (갈산동, 부평구 다목적 실내체육관)",126.72347,37.51863,부평구,8,89,9,44,4827,405,165,105,718862.00000,6127.00000,777728.00000,8515
부평깡시장 공영주차장,4333.53000,131,인천광역시 부평구 부흥로 315,126.72685,37.49867,부평구,9,79,10,39,6140,469,181,127,725705.00000,6278.00000,940258.00000,10628
부평아트센터,12668.92000,334,"인천광역시 부평구 아트센터로 166 (십정동, 부평아트센터)",126.70516,37.48226,부평구,13,72,10,49,8161,563,200,165,727109.00000,7531.00000,1064139.00000,14021
삼산농산물도매시장,6254.46000,257,"인천광역시 부평구 영성동로 46 (삼산동, 삼산농산물도매시장)",126.74900,37.52182,부평구,5,74,8,16,3664,321,124,78,690358.00000,4315.00000,588165.00000,6205
서곶근린공원 제1주차장,4226.91000,137,인천광역시 서구 연희동 산150-5,126.68152,37.54711,서구,3,63,9,46,3924,418,109,69,192334.00000,7042.00000,585441.00000,6454
서림초교 뒤 공영주차장,18985.67000,408,인천광역시 동구 송림동 125-3,126.64820,37.47644,동구,10,45,5,47,6131,363,141,133,197052.00000,6398.00000,633053.00000,10076
서운체육공원 주차장,4720.24000,196,인천광역시 계양구 서운동 207,126.74750,37.53262,계양구,5,74,8,15,3497,311,114,73,684012.00000,4264.00000,558678.00000,5943
소래제1주차장,4506.32000,133,인천광역시 남동구 논현동 754-4,126.73644,37.39779,남동구,6,25,3,6,3067,197,45,29,341155.00000,4147.00000,231509.00000,2611
송도골프,22123.05000,432,인천광역시 연수구 능허대로 236,126.65056,37.41487,연수구,13,20,11,20,4371,481,106,72,790534.00000,7893.00000,508180.00000,6685
송도컨벤시아,25121.35000,496,"인천광역시 연수구 센트럴로 123 , 지하주차장 1층",126.64555,37.38814,연수구,4,3,8,10,2641,368,61,32,625378.00000,6125.00000,252689.00000,3031
송림체육관,30617.47000,595,인천광역시 동구 염전로 30,126.64758,37.48439,동구,9,41,7,56,5967,388,142,128,189760.00000,6305.00000,651457.00000,9987
신기남부종합시장 주차장,7561.01000,142,인천광역시 미추홀구 주안동 1311-17,126.67865,37.44622,미추홀구,23,55,10,37,7455,504,183,160,755866.00000,8359.00000,893539.00000,13100
신문리 공영주차장,7411.52000,164,인천광역시 강화군 강화읍 향나무길 20 (신문리),126.47916,37.74653,강화군,2,6,0,1,289,49,13,17,1163.00000,1837.00000,21368.00000,551
십리포해수욕장 주차장,1561.03000,68,인천광역시 옹진군 영흥면 영흥북로 382,126.48647,37.28147,옹진군,0,0,0,1,73,8,3,5,376.00000,7.00000,3553.00000,210
아트센터인천,11356.43000,212,인천광역시 연수구 아트센터대로 222,126.62701,37.39378,연수구,4,1,8,9,1656,344,54,25,563756.00000,5692.00000,227295.00000,2803
연세대학교 국제캠퍼스,53172.87000,656,인천광역시 연수구 송도동 162-1  포스코 그린빌딩 앞 주차장,126.66727,37.38151,연수구,2,10,8,14,3371,388,71,41,669029.00000,6048.00000,296933.00000,3497
연수구청,8931.53000,208,인천광역시 연수구 원인재로 115,126.67834,37.40949,연수구,11,34,14,18,5070,536,127,81,808789.00000,8564.00000,576253.00000,7826
열우물경기장,6591.65000,158,인천광역시 부평구 십정동 109-2,126.69283,37.47882,부평구,18,72,11,53,8448,593,212,183,763483.00000,7859.00000,1081457.00000,14730
영종대교 휴게소 주차장,30137.35000,578,인천광역시 서구 경서동 산 257-4  지상 버스주차장 옆,126.60708,37.55390,서구,1,18,2,13,1365,133,16,6,18457.00000,3227.00000,94262.00000,1092
영흥수산물직판장 주차장,11727.52000,408,인천광역시 옹진군 영흥면 내리 8-165  공중화장실 옆,126.49793,37.25545,옹진군,0,0,0,1,82,13,3,6,376.00000,7.00000,3945.00000,236
온수리 공영 주차장,9405.42000,190,인천광역시 강화군 길상면 온수리 546-34,126.49212,37.63915,강화군,0,0,0,0,168,38,6,8,1366.00000,2760.00000,6093.00000,322
온수리 제1공영주차장,1698.31000,75,인천광역시 강화군 길상면 마니산로 20,126.48966,37.64210,강화군,0,0,0,0,171,39,6,8,1366.00000,2867.00000,6182.00000,321
용유동사무소,21183.14000,513,인천광역시 중구 마시란로 308-13,126.40243,37.44390,중구,0,0,1,3,95,17,2,4,651.00000,554.00000,2672.00000,398
월미공원 제2주차장,2859.22000,100,인천광역시 중구 월미로 329,126.60027,37.47015,중구,4,15,3,19,2159,192,59,63,74536.00000,3535.00000,195875.00000,3824
이마트 동인천점,17285.21000,235,인천광역시 중구 인중로 134,126.62917,37.46655,중구,8,26,5,31,4987,307,92,95,233991.00000,5424.00000,431964.00000,7414
이마트 연수점,7994.79000,356,"인천광역시 연수구 경원대로 184 , 주차장 옥상",126.68112,37.40422,연수구,11,30,14,18,4653,490,113,71,796170.00000,8105.00000,496364.00000,6742
인천경제산업정보테크노파크,56706.87000,481,인천광역시 연수구 갯벌로 12,126.65584,37.38254,연수구,3,7,8,10,3065,377,61,34,640394.00000,5982.00000,264216.00000,3189
인천공항 정부합동청사,8148.95000,437,"인천광역시 중구 공항로424번길 47 , 정문 주차장",126.46134,37.44039,중구,0,0,1,1,138,17,2,6,701.00000,864.00000,1548.00000,304
인천공항물류단지 행정지원센터,3976.65000,125,인천광역시 중구 공항동로 296번길 69,126.47748,37.47891,중구,0,2,3,1,319,71,13,8,4081.00000,1444.00000,28835.00000,682
인천광역시 교통연수원,2078.84000,93,인천광역시 계양구 경명로 990,126.74032,37.56270,계양구,4,60,4,11,2013,190,72,36,114827.00000,4342.00000,333665.00000,3242
인천교통공사 본사,5140.67000,163,인천광역시 남동구 경인로 674,126.70853,37.46982,남동구,17,68,8,41,7112,548,192,159,763506.00000,7871.00000,992016.00000,13321
인천나비공원 주차장,3330.10000,129,인천광역시 부평구 청천동 125-3,126.69700,37.52071,부평구,10,95,11,60,6566,570,180,113,769031.00000,7592.00000,849459.00000,9759
